Rank,Player,Profile_Link,Stat,Image_URL
39,VectraLET,https://www.hasbrorisk.com/en/player/XBARNWJJ,"29,651",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
40,General Jani 21496,https://www.hasbrorisk.com/en/player/NB07EYZZ,"29,645",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
41,Tatiana Buttry,https://www.hasbrorisk.com/en/player/E2AKYHQQ,"29,569",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_9-F-JP.png
42,General Handa 21079,https://www.hasbrorisk.com/en/player/N9RWFYZZ,"29,567",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_2-M-DE.png
43,Avon Labeau,https://www.hasbrorisk.com/en/player/4BNMPAGG,"29,501",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
44,TangyHammer30662,https://www.hasbrorisk.com/en/player/GUFPKZ11,"29,501",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
45,Bruiser Ngu,https://www.hasbrorisk.com/en/player/BJ52FV77,"29,485",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_3-M-GB.png
46,Anton Defiance,https://www.hasbrorisk.com/en/player/946Y1FNN,"29,440",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
47,cikcuk,https://www.hasbrorisk.com/en/player/EVKEGX88,"29,435",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_27-F-SAMURAI.png
48,vampirechicken,https://www.hasbrorisk.com/en/player/B8ZT3SZZ,"29,410",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
49,Lyla The Little,https://www.hasbrorisk.com/en/player/XQKE1RJJ,"29,388",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_9-F-JP.png
50,Virgil Dragon 2,https://www.hasbrorisk.com/en/player/VFTGAUDD,"29,388",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_21-M-DRG.png
51,xeronima,https://www.hasbrorisk.com/en/player/4PGGZEXX,"29,361",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_2-M-DE.png
52,Elmer Suko,https://www.hasbrorisk.com/en/player/RR0ZKUMM,"29,357",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_9-F-JP.png
53,AgentCGU,https://www.hasbrorisk.com/en/player/PX26EVMM,"29,350",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_19-M-DWF.png
54,General Tanigawa 21427,https://www.hasbrorisk.com/en/player/PCT7P8BB,"29,343",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_31-M-WIZ.png
55,General Bataille 18765,https://www.hasbrorisk.com/en/player/XGAN9TKK,"29,338",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_8-F-KE.png
56,General Bravo 4653,https://www.hasbrorisk.com/en/player/NZ8TDB77,"29,335",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_2-M-DE.png
57,ForgottenGenius1316,https://www.hasbrorisk.com/en/player/5RVQMBXX,"29,328",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_4-M-US.png
58,Dirk On,https://www.hasbrorisk.com/en/player/4GPHTKXX,"29,317",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
59,General Overkill 7132,https://www.hasbrorisk.com/en/player/GMA1ME11,"29,298",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_10-F-ES.png
60,Ebb Mancini 2,https://www.hasbrorisk.com/en/player/4K7MUGGG,"29,253",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
61,Keely Eto,https://www.hasbrorisk.com/en/player/XDJ2DTKK,"29,252",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_20-F-ELF.png
62,mpharris36,https://www.hasbrorisk.com/en/player/N94FCWZZ,"29,239",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_6-M-KE.png
63,KarmaMiracles,https://www.hasbrorisk.com/en/player/5FDZ5SGG,"29,205",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_27-F-SAMURAI.png
64,Julius Jackson,https://www.hasbrorisk.com/en/player/9MV4Q9PP,"29,199",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
65,Chris Henneberry,https://www.hasbrorisk.com/en/player/HF2BVF44,"29,190",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_4-M-US.png
66,eng 3baid,https://www.hasbrorisk.com/en/player/V5N8H8UU,"29,141",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_11-M-PIR1.png
67,Hershell The Snooty,https://www.hasbrorisk.com/en/player/GJC18H11,"29,135",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_19-M-DWF.png
68,14firehawk1,https://www.hasbrorisk.com/en/player/VVV7SGDD,"29,116",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_4-M-US.png
69,General Soda 22382,https://www.hasbrorisk.com/en/player/91R6X3PP,"29,110",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_10-F-ES.png
70,Terrie Bal,https://www.hasbrorisk.com/en/player/PMJ4JDBB,"29,106",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_9-F-JP.png
71,Gerardo Frances,https://www.hasbrorisk.com/en/player/MPMPBF88,"29,089",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_17-M-ZNP.png
72,Bad Hand Swan 17,https://www.hasbrorisk.com/en/player/ETA8FC88,"29,088",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_4-M-US.png
73,Enlow,https://www.hasbrorisk.com/en/player/5VCVM5XX,"29,053",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_6-M-KE.png
74,C_money,https://www.hasbrorisk.com/en/player/R2096SMM,"29,037",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_9-F-JP.png
75,Leonard Triumph 26,https://www.hasbrorisk.com/en/player/9M28STNN,"29,031",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_14-M-PIR4.png
76,Angelica Lam,https://www.hasbrorisk.com/en/player/H2WXXK99,"29,012",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_10-F-ES.png
77,Obe Bhardwaj,https://www.hasbrorisk.com/en/player/EVQPF088,"29,004",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_8-F-KE.png
78,Superpaul48,https://www.hasbrorisk.com/en/player/BNFV0077,"28,966",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_6-M-KE.png
79,General Jani 25387,https://www.hasbrorisk.com/en/player/MQF452QQ,"28,965",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
80,TypicalxKiefer,https://www.hasbrorisk.com/en/player/3USV0GYY,"28,964",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_13-F-PIR3.png
81,Bertram The Boar 23,https://www.hasbrorisk.com/en/player/GCR8QA11,"28,960",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_10-F-ES.png
82,Lisle Longshanks,https://www.hasbrorisk.com/en/player/3MC49FYY,"28,955",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_7-F-RU.png
83,HauntingSubsistence8,https://www.hasbrorisk.com/en/player/PNCXY8MM,"28,948",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
84,cphuhu,https://www.hasbrorisk.com/en/player/3XYBNVYY,"28,947",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
85,Gregory Burn 14,https://www.hasbrorisk.com/en/player/VTPMPYUU,"28,929",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
86,Hasnizzy03,https://www.hasbrorisk.com/en/player/5T5WWFXX,"28,926",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
87,Pike The Blade 23,https://www.hasbrorisk.com/en/player/PW5GXZMM,"28,916",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
88,Zettie Wali,https://www.hasbrorisk.com/en/player/RH2NVNMM,"28,914",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
89,Hyrum Trebuchet,https://www.hasbrorisk.com/en/player/RT2Y3TMM,"28,903",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
90,tdwats,https://www.hasbrorisk.com/en/player/N34X0PZZ,"28,892",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_3-M-GB.png
91,General Aoki 4684,https://www.hasbrorisk.com/en/player/HV339H44,"28,889",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_19-M-DWF.png
92,MajorXtermination,https://www.hasbrorisk.com/en/player/XA9U0XJJ,"28,877",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_21-M-DRG.png
93,General Bajaj 19768,https://www.hasbrorisk.com/en/player/HSBDWZ99,"28,846",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
94,Jimmie The Frosty,https://www.hasbrorisk.com/en/player/P4CE9XMM,"28,829",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_15-M-PIR5.png
95,Murphy,https://www.hasbrorisk.com/en/player/MQMG4CQQ,"28,816",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_21-M-DRG.png
96,Brewster the Dragon,https://www.hasbrorisk.com/en/player/GU9Q0B11,"28,813",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_4-M-US.png
97,General Hardstone 24997,https://www.hasbrorisk.com/en/player/496DCGGG,"28,806",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_10-F-ES.png
98,Dania Date,https://www.hasbrorisk.com/en/player/WPF1M933,"28,784",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
99,spesher6,https://www.hasbrorisk.com/en/player/9C27FVPP,"28,772",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_3-M-GB.png
100,General The Nail 21455,https://www.hasbrorisk.com/en/player/PCHQ58BB,"28,763",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
101,arin,https://www.hasbrorisk.com/en/player/VFJBTHDD,"28,730",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_9-F-JP.png
102,Enigma of Rage,https://www.hasbrorisk.com/en/player/X3BSMVJJ,"28,708",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_10-F-ES.png
103,Brynn Lonestar,https://www.hasbrorisk.com/en/player/NZA75CZZ,"28,693",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
104,General Hunter 22296,https://www.hasbrorisk.com/en/player/3MKQ7GYY,"28,673",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_20-F-ELF.png
105,Mertie Grinface 14,https://www.hasbrorisk.com/en/player/XBT99FJJ,"28,654",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_10-F-ES.png
106,xCubbies,https://www.hasbrorisk.com/en/player/MKCZ8S88,"28,632",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_4-M-US.png
107,-Janky-,https://www.hasbrorisk.com/en/player/GNUUZTAA,"28,613",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_26-ALIEN.png
108,Daniel McDonald,https://www.hasbrorisk.com/en/player/V5UTFYDD,"28,607",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
109,Ixions,https://www.hasbrorisk.com/en/player/VHMZZKUU,"28,555",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_21-M-DRG.png
110,Aurelio Ripley 33,https://www.hasbrorisk.com/en/player/H5QRNN44,"28,539",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_24-ROBOT.png
111,General Vig 7743,https://www.hasbrorisk.com/en/player/HVNA8T44,"28,538",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_2-M-DE.png
112,Ferd The Weird 7,https://www.hasbrorisk.com/en/player/NA19DP77,"28,528",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
113,Ayo Leo,https://www.hasbrorisk.com/en/player/HSXM9A44,"28,527",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_31-M-WIZ.png
114,Chelsea La Roche,https://www.hasbrorisk.com/en/player/4ATGXRGG,"28,523",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_3-M-GB.png
115,MoodySquid4826,https://www.hasbrorisk.com/en/player/E64QZH88,"28,503",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_2-M-DE.png
116,($Rob 59$),https://www.hasbrorisk.com/en/player/4GUAEGXX,"28,498",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
117,Shot Caller,https://www.hasbrorisk.com/en/player/BC3NA0ZZ,"28,497",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
118,hghblr,https://www.hasbrorisk.com/en/player/3CD1B2CC,"28,453",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
119,grandduke,https://www.hasbrorisk.com/en/player/BC7Z06ZZ,"28,413",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_14-M-PIR4.png
120,Dennis Kien 2,https://www.hasbrorisk.com/en/player/WACXKV33,"28,391",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_3-M-GB.png
121,Bartholomew Cooper,https://www.hasbrorisk.com/en/player/G1XRY511,"28,358",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_14-M-PIR4.png
122,Wood Del Oro,https://www.hasbrorisk.com/en/player/P1K9JVMM,"28,347",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
